prefix_length,num_cases,tp,fp,tn,fn,precision,recall,fscore
1.0,157.0,24.0,133.0,0.0,0.0,0.15286624203821655,1.0,0.26519337016574585
2.0,157.0,2.0,12.0,121.0,22.0,0.14285714285714285,0.08333333333333333,0.10526315789473685
3.0,157.0,24.0,133.0,0.0,0.0,0.15286624203821655,1.0,0.26519337016574585
4.0,157.0,24.0,133.0,0.0,0.0,0.15286624203821655,1.0,0.26519337016574585
5.0,157.0,2.0,20.0,113.0,22.0,0.09090909090909091,0.08333333333333333,0.08695652173913043
6.0,157.0,13.0,39.0,94.0,11.0,0.25,0.5416666666666666,0.34210526315789475
7.0,157.0,23.0,105.0,28.0,1.0,0.1796875,0.9583333333333334,0.3026315789473684
8.0,154.0,11.0,30.0,100.0,13.0,0.2682926829268293,0.4583333333333333,0.3384615384615385
9.0,152.0,23.0,104.0,24.0,1.0,0.18110236220472442,0.9583333333333334,0.304635761589404
10.0,142.0,8.0,24.0,94.0,16.0,0.25,0.3333333333333333,0.28571428571428575
11.0,129.0,11.0,26.0,80.0,12.0,0.2972972972972973,0.4782608695652174,0.3666666666666667
12.0,109.0,2.0,5.0,81.0,21.0,0.2857142857142857,0.08695652173913043,0.13333333333333333
13.0,93.0,9.0,31.0,39.0,14.0,0.225,0.391304347826087,0.2857142857142857
14.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
